book1_ch01_6_6	book2_chapter1_4_3:3.0
book1_ch02	book2_chapter1:3.0
book1_ch04_7_3	book2_chapter5_4_4:2.5
book1_ch02_2_9	book2_chapter1_7_2:3.0,book2_chapter1_7:3.0
book1_ch06_5_2	book2_chapter6_1_4:3.0
book1_ch06_6_5	book2_chapter6_5:2.0
book1_ch01_8	book2_chapter1_5:3.0,book2_chapter1_5_3:3.0
book1_ch04_8_2	book2_chapter2_1_3:1.0,book2_chapter2_1_1:2.0
book1_ch01_4_6	book2_chapter1_4_3:2.0
book1_ch06_8	book2_chapter6_3:3.0
book1_ch06_6_8	book2_chapter6_4_1:2.0,book2_chapter6_4:2.0
book1_ch02_4_15	book2_chapter1_2_1:2.0,book2_chapter1_3_1:2.0
book1_ch04_6_5	book2_chapter5_3_1:2.0,book2_chapter5_3_2:2.0,book2_chapter5_4:2.0
book1_ch04_4_2	book2_chapter5_2_1:3.0
book1_ch03_5_3	book2_chapter1_2_1:3.0
book1_ch06_6_2	book2_chapter6_4_1:3.0
book1_ch02_6	book2_chapter5_1:3.0
book1_ch01_3_3	book2_chapter6_1_1:2.0
book1_ch01_7_8	book2_chapter1_5_1:3.0
book1_ch04_3	book2_chapter2_2:1.0,book2_chapter2_3:2.0
book1_ch04_6_8	book2_chapter5_4_2:3.0,book2_chapter5_4_3:3.0
book1_ch01_5_3	book2_chapter1_4_1:3.0
book1_ch04_5_2	book2_chapter2_2_2:3.0,book2_chapter5_3:2.0
book1_ch03_7_3	book2_chapter5_6_1:2.0,book2_chapter1_6:2.0,book2_chapter1_4:1.0,book2_chapter5_6:3.0
book1_ch02_4_14	book2_chapter1_2_1:2.0,book2_chapter1_3_1:2.0
book1_ch03_7_2	book2_chapter1_4_2:1.0,book2_chapter1_4:1.0
